popularity,acousticness,danceability,loudness,tempo,key,,,popround,acouround,danceround,loudround,temporound,key
58,0.262,0.606,-2.114,129.965,7,,,58,0.262,0.606,-2.114,129.965,7
51,0.839,0.529,-9.333,111.131,10,,,51,0.839,0.529,-9.333,111.131,10
62,0.431,0.75,-9.576,90.998,0,,,62,0.431,0.75,-9.576,90.998,0
72.375,0.3817,0.604,-5.99025,111.603375,5,,,72.375,0.382,0.604,-5.99,111.603,5
61.6,0.5154,0.68,-6.3206,113.7878,7,,,61.6,0.515,0.68,-6.321,113.788,7
48.44444444,0.230612667,0.524,-6.656,105.0102222,0,,,48.444,0.231,0.524,-6.656,105.01,0
57.6440678,0.172479864,0.605389831,-5.570847458,114.0378475,7,,,57.644,0.172,0.605,-5.571,114.038,7
47,0.54,0.771,-4.608,139.991,5,,,47,0.54,0.771,-4.608,139.991,5
54,0.282,0.797,-12.625,139.988,7,,,54,0.282,0.797,-12.625,139.988,7
64,0.0989,0.578,-2.132,133.964,5,,,64,0.099,0.578,-2.132,133.964,5
65,0.0109,0.699,-5.704,102.023,11,,,65,0.011,0.699,-5.704,102.023,11
58,0.271,0.922,-4.652,104.979,1,,,58,0.271,0.922,-4.652,104.979,1
57,0.362,0.815,-9.28,87.983,0,,,57,0.362,0.815,-9.28,87.983,0
36.33333333,0.011183333,0.829666667,-11.56433333,101.9806667,7,,,36.333,0.011,0.83,-11.564,101.981,7
0.020618557,0.973556701,0.488216495,-10.93320619,112.6992371,11,,,0.021,0.974,0.488,-10.933,112.699,11
56,0.43,0.758,-2.502,119.992,5,,,56,0.43,0.758,-2.502,119.992,5
33,0.0578,0.601,-8.006,136.421,10,,,33,0.058,0.601,-8.006,136.421,10
40.4375,0.4828125,0.49815625,-12.066375,121.1039063,2,,,40.438,0.483,0.498,-12.066,121.104,2
0,0.010436667,0.772333333,-9.748666667,128.383,11,,,0,0.01,0.772,-9.749,128.383,11
57,0.0268,0.438,-4.158,127.991,0,,,57,0.027,0.438,-4.158,127.991,0
57,0.000520817,0.417,-4.0715,156.3535,4,,,57,0.001,0.417,-4.072,156.354,4
58,0.102866667,0.680333333,-6.191666667,131.479,10,,,58,0.103,0.68,-6.192,131.479,10
68,0.0503,0.572,-1.949,129.979,4,,,68,0.05,0.572,-1.949,129.979,4
79,0.294,0.904,-17.54,117.994,5,,,79,0.294,0.904,-17.54,117.994,5
36,0.0401,0.797,-9.228,123.686,2,,,36,0.04,0.797,-9.228,123.686,2
73,0.359,0.409,-7.731,89.968,9,,,73,0.359,0.409,-7.731,89.968,9
61.6,0.7166,0.431,-11.0328,122.563,11,,,61.6,0.717,0.431,-11.033,122.563,11
62,0.0351,0.549,-6.515,180.043,3,,,62,0.035,0.549,-6.515,180.043,3
58,0.137,0.72,-5.212,140.027,5,,,58,0.137,0.72,-5.212,140.027,5
30,0.00325,0.494,-5.188,191.967,4,,,30,0.003,0.494,-5.188,191.967,4
55.35294118,0.256893529,0.628411765,-7.504470588,135.2505294,1,,,55.353,0.257,0.628,-7.504,135.251,1
44.78947368,0.180465579,0.726578947,-7.812157895,97.83547368,9,,,44.789,0.18,0.727,-7.812,97.835,9
51,0.0503,0.665,-4.804,98.811,2,,,51,0.05,0.665,-4.804,98.811,2
0,0.935,0.43,-11.102,135.713,6,,,0,0.935,0.43,-11.102,135.713,6
43.66666667,0.172010769,0.677871795,-8.014794872,124.3112564,9,,,43.667,0.172,0.678,-8.015,124.311,9
40,0.375,0.558,-10.637,134.339,4,,,40,0.375,0.558,-10.637,134.339,4
46,0.02728,0.8655,-4.302,113.5295,1,,,46,0.027,0.866,-4.302,113.53,1
7.56,0.955224,0.3502792,-19.230776,106.760888,7,,,7.56,0.955,0.35,-19.231,106.761,7
58,0.896,0.786,-11.429,99.978,0,,,58,0.896,0.786,-11.429,99.978,0
39.25,0.0393825,0.7086875,-7.8096875,126.084125,11,,,39.25,0.039,0.709,-7.81,126.084,11
44,0.113,0.785,-10.278,110.013,8,,,44,0.113,0.785,-10.278,110.013,8
67,0.758,0.325,-11.595,81.869,6,,,67,0.758,0.325,-11.595,81.869,6
41.6,0.36384,0.6478,-11.377,103.2964,7,,,41.6,0.364,0.648,-11.377,103.296,7
62,0.9925,0.413,-27.8425,94.446,7,,,62,0.993,0.413,-27.843,94.446,7
53.85714286,0.254961905,0.582809524,-5.857238095,126.9920476,6,,,53.857,0.255,0.583,-5.857,126.992,6
44.66666667,0.687333333,0.5245,-10.2215,128.7728333,7,,,44.667,0.687,0.525,-10.222,128.773,7
0,0.00188,0.807,-6.216,126.005,1,,,0,0.002,0.807,-6.216,126.005,1
65,0.2055,0.7735,-8.2015,141.0915,10,,,65,0.206,0.774,-8.202,141.092,10
43.57142857,0.449528571,0.550214286,-11.95471429,124.2169286,2,,,43.571,0.45,0.55,-11.955,124.217,2
60,0.334,0.352,-7.412,88.855,10,,,60,0.334,0.352,-7.412,88.855,10
51,0.02325,0.5015,-4.918,113.99,2,,,51,0.023,0.502,-4.918,113.99,2
77,0.0726,0.7355,-8.159,119.9395,10,,,77,0.073,0.736,-8.159,119.94,10
41.54545455,0.199845455,0.652454545,-8.830818182,113.9722727,6,,,41.545,0.2,0.652,-8.831,113.972,6
46.5,0.672,0.51275,-7.487,122.951,2,,,46.5,0.672,0.513,-7.487,122.951,2
50.25,0.083475,0.6535,-7.05525,138.97075,4,,,50.25,0.083,0.654,-7.055,138.971,4
55.83333333,0.22775,0.640083333,-5.307416667,131.42675,7,,,55.833,0.228,0.64,-5.307,131.427,7
